,Date,Unix,Ticker,DE Ratio,Price,SP500
0,2004-01-30 19:01:02,1075482062.0,a,0.407,36.65,1131.13
1,2004-04-13 04:07:11,1081818431.0,a,0.375,31.87,1129.43994
2,2004-12-13 21:37:34,1102966654.0,a,0.323,23.84,1198.68005
3,2005-01-22 05:17:19,1106363839.0,a,0.322,21.8,1184.63
4,2006-01-09 02:35:16,1136766916.0,a,0.0,34.65,1290.1500199999998
5,2006-06-21 11:01:16,1150876876.0,a,0.368,32.18,1252.19995
6,2006-08-19 10:42:01,1155973321.0,a,0.396,31.8,1295.43005
7,2007-02-20 17:46:56,1171986416.0,a,0.411,32.48,1459.68005
8,2007-04-12 05:07:51,1176343671.0,a,0.411,34.62,1447.80005
9,2008-01-23 19:28:50,1201109330.0,a,0.645,32.16,1338.5999800000002
10,2008-02-14 04:44:34,1202957074.0,a,0.645,32.68,1348.85999
11,2008-04-26 04:49:23,1209174563.0,a,0.67,31.53,1379.93005
12,2008-12-06 19:21:33,1228584093.0,a,0.83,17.26,870.73999
13,2004-04-13 04:20:10,1081819210.0,aa,0.595,34.26,1129.43994
14,2004-09-09 16:15:45,1094735745.0,aa,0.561,32.89,1118.38
15,2004-11-24 10:37:20,1101285440.0,aa,0.53,33.58,1181.76001
16,2004-12-05 00:36:42,1102199802.0,aa,0.53,32.86,1190.32996
17,2005-01-13 07:18:32,1105593512.0,aa,0.457,29.43,1177.44995
18,2005-02-07 03:48:37,1107740917.0,aa,0.457,29.37,1201.7199699999999
19,2005-05-22 08:48:23,1116740903.0,aa,0.543,27.45,1191.07996
20,2006-06-20 04:32:21,1150767141.0,aa,0.526,29.1,1240.12
21,2007-01-25 19:09:37,1169744977.0,aa,0.494,31.46,1423.9000199999998
22,2007-02-23 09:03:42,1172214222.0,aa,0.494,34.75,1451.18994
23,2007-05-16 21:12:47,1179339167.0,aa,0.494,39.04,1514.14001
24,2007-06-22 06:39:12,1182483552.0,aa,0.503,40.34,1502.56006
25,2007-10-11 20:57:59,1192125479.0,aa,0.47,38.08,1554.41003
26,2008-01-23 16:05:53,1201097153.0,aa,0.499,28.04,1338.5999800000002
27,2008-10-28 00:52:22,1225147942.0,aa,0.672,9.04,940.51001
28,2008-12-05 01:03:15,1228431795.0,aa,0.672,8.06,876.0700099999999
29,2008-12-06 09:33:46,1228548826.0,aa,0.672,8.15,870.73999
30,2008-12-18 10:54:07,1229590447.0,aa,0.672,10.35,885.2800300000001
31,2003-12-07 10:36:10,1070786170.0,aapl,0.072,20.85,1069.7199699999999
32,2004-02-03 07:33:34,1075786414.0,aapl,0.07,22.32,1136.0300300000001
33,2004-06-03 01:20:38,1086214838.0,aapl,0.0,28.92,1116.64001
34,2004-08-10 02:02:44,1092092564.0,aapl,0.0,30.3,1079.04004
35,2004-10-12 05:40:57,1097548857.0,aapl,0.0,38.59,1121.83997
